Serial Number:20850768 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 23:39:59,27.88,0, , , , 
2022-06-13 23:41:59,27.93,0, , , , 
2022-06-13 23:43:59,27.88,0, , , , 
2022-06-13 23:45:59,27.88,0, , , , 
2022-06-13 23:47:59,27.93,1, , , , 
2022-06-13 23:49:59,27.93,0, , , , 
2022-06-13 23:51:59,27.93,0, , , , 
2022-06-13 23:53:59,27.93,0, , , , 
2022-06-13 23:55:59,27.88,0, , , , 
2022-06-13 23:57:59,27.88,0, , , , 
2022-06-13 23:59:59,27.88,0, , , , 
2022-06-14 00:01:59,27.88,0, , , , 
2022-06-14 00:03:59,27.84,0, , , , 
2022-06-14 00:05:59,27.88,0, , , , 
2022-06-14 00:07:59,27.84,0, , , , 
2022-06-14 00:09:59,27.84,0, , , , 
2022-06-14 00:11:59,27.84,0, , , , 
2022-06-14 00:13:59,27.88,0, , , , 
2022-06-14 00:15:59,27.88,0, , , , 
2022-06-14 00:17:59,27.84,0, , , , 
2022-06-14 00:19:59,27.88,0, , , , 
2022-06-14 00:21:59,27.84,0, , , , 
2022-06-14 00:23:59,27.80,0, , , , 
2022-06-14 00:25:59,27.88,1, , , , 
2022-06-14 00:27:59,27.80,0, , , , 
2022-06-14 00:29:59,27.88,0, , , , 
2022-06-14 00:31:59,27.84,0, , , , 
2022-06-14 00:33:59,27.88,0, , , , 
2022-06-14 00:35:59,27.88,0, , , , 
2022-06-14 00:37:59,27.88,0, , , , 
2022-06-14 00:39:59,27.88,0, , , , 
2022-06-14 00:41:59,27.88,0, , , , 
2022-06-14 00:43:59,27.93,0, , , , 
2022-06-14 00:45:59,27.97,0, , , , 
2022-06-14 00:47:59,27.93,0, , , , 
2022-06-14 00:49:59,27.93,0, , , , 
2022-06-14 00:51:59,27.88,0, , , , 
2022-06-14 00:53:59,27.88,0, , , , 
2022-06-14 00:55:59,27.88,0, , , , 
2022-06-14 00:57:59,27.93,0, , , , 
2022-06-14 00:59:59,27.93,0, , , , 
2022-06-14 01:01:59,27.88,0, , , , 
2022-06-14 01:03:59,27.88,1, , , , 
2022-06-14 01:05:59,27.93,0, , , , 
2022-06-14 01:07:59,27.93,0, , , , 
2022-06-14 01:09:59,27.88,0, , , , 
2022-06-14 01:11:59,27.88,0, , , , 
2022-06-14 01:13:59,27.88,0, , , , 
2022-06-14 01:15:59,27.93,0, , , , 
2022-06-14 01:17:59,27.88,0, , , , 
2022-06-14 01:19:59,27.88,0, , , , 
2022-06-14 01:21:59,27.88,0, , , , 
2022-06-14 01:23:59,27.88,0, , , , 
2022-06-14 01:25:59,27.88,0, , , , 
2022-06-14 01:27:59,27.84,0, , , , 
2022-06-14 01:29:59,27.88,0, , , , 
2022-06-14 01:31:59,27.88,0, , , , 
2022-06-14 01:33:59,27.88,0, , , , 
2022-06-14 01:35:59,27.88,0, , , , 
2022-06-14 01:37:59,27.84,0, , , , 
2022-06-14 01:39:59,27.84,0, , , , 
2022-06-14 01:41:59,27.93,1, , , , 
2022-06-14 01:43:59,27.88,0, , , , 
2022-06-14 01:45:59,27.84,0, , , , 
2022-06-14 01:47:59,27.88,0, , , , 
2022-06-14 01:49:59,27.88,0, , , , 
2022-06-14 01:51:59,27.88,0, , , , 
2022-06-14 01:53:59,27.93,0, , , , 
2022-06-14 01:55:59,27.88,0, , , , 
2022-06-14 01:57:59,27.88,0, , , , 
2022-06-14 01:59:59,27.88,0, , , , 
2022-06-14 02:01:59,27.88,0, , , , 
2022-06-14 02:03:59,27.88,0, , , , 
2022-06-14 02:05:59,27.88,0, , , , 
2022-06-14 02:07:59,27.93,0, , , , 
2022-06-14 02:09:59,27.93,0, , , , 
2022-06-14 02:11:59,27.88,0, , , , 
2022-06-14 02:13:59,27.93,0, , , , 
2022-06-14 02:15:59,27.93,0, , , , 
2022-06-14 02:17:59,27.88,0, , , , 
2022-06-14 02:19:59,27.93,1, , , , 
2022-06-14 02:21:59,27.93,0, , , , 
2022-06-14 02:23:59,27.93,0, , , , 
2022-06-14 02:25:59,27.93,0, , , , 
2022-06-14 02:27:59,27.93,0, , , , 
2022-06-14 02:29:59,27.93,0, , , , 
